legacy_symbol,current_symbol,source
ABCX,ABCA7,alias_symbol
ABDH19,PPME1,alias_symbol
ABF-1,MSC,alias_symbol
ABH,ALKBH1,alias_symbol
ABH2,ALKBH2,alias_symbol
ABHD11-AS1,BICDL3P,prev_symbol
ABHD12A,ABHD12,alias_symbol
ABHD17AP2,ABHD17AP1,prev_symbol
ABHD20,EPHX2,alias_symbol
ABHD21,SPG21,alias_symbol
ABHD7,EPHX4,prev_symbol
ABHD9,EPHX3,prev_symbol
ABI-1,ABI1,alias_symbol
ABI-2,ABI2,alias_symbol
ABI1P,ABI1P1,prev_symbol
ABI2B,ABI2,alias_symbol
ABIN-1,TNIP1,alias_symbol
ABIN-2,TNIP2,alias_symbol
ABIN-3,TNIP3,alias_symbol
ABIN2,TNIP2,alias_symbol
ABL,ABL1,prev_symbol
ABLBP3,ABI2,alias_symbol
ABLIM,ABLIM1,prev_symbol
ABLL,ABL2,prev_symbol
ABP,AOC1,prev_symbol
ABP-278,FLNB,alias_symbol
ABP-280,FLNA,alias_symbol
ABP1,AOC1,prev_symbol
ABP125,SEC31A,alias_symbol
ABP130,SEC31A,alias_symbol
ABP620,MACF1,alias_symbol
ABPA1P,SCGB1B1P,alias_symbol
ABPBG1P,SCGB2B1P,alias_symbol
ABPL,FLNC,alias_symbol
ABRA1,ABRAXAS1,alias_symbol
ABRAXAS,ABRAXAS1,alias_symbol
ABRO1,ABRAXAS2,alias_symbol
ABS,DDX41,alias_symbol
ABTB2A,ABTB2,alias_symbol
ABTB2B,ABTB3,alias_symbol
AC,ASAH1,alias_symbol
AC002066.1,CAV2-DT,alias_symbol
AC002310.12,ZNF747-DT,alias_symbol
AC002384.1,LINC02577,alias_symbol
AC002454.1,CDK6-AS1,alias_symbol
AC003090.1,LINC03007,alias_symbol
AC004542.C22.1,MORC2,alias_symbol
AC004704.1,LINC02945,alias_symbol
AC004784.1,PSG11-AS1,alias_symbol
AC004812.2,RAB35-AS1,alias_symbol
AC004854.4,H2AZ2-DT,alias_symbol
AC004943.2,ZFHX3-AS1,alias_symbol
AC004997.C22.2,TBC1D10A,alias_symbol
AC005154.1,GARS1-DT,alias_symbol
AC005154.6,GARS1-DT,alias_symbol
AC005165.1,LINC03007,alias_symbol
AC005253.1,KXD1-AS1,alias_symbol
AC005392.2,LINC03078,alias_symbol
AC005592.2,SPRY4-AS1,alias_symbol
AC005682.5,SNHG26,alias_symbol
AC005884.1,BCAS3-AS1,alias_symbol
AC006160.1,MED28-DT,alias_symbol
AC006262.5,IGFL2-AS1,alias_symbol
AC006369.1,CDC42EP3-AS1,alias_symbol
AC007032.1,NAMPT-AS1,alias_symbol
AC007092.1,LINC01122,alias_symbol
AC007182.6,FLVCR2-AS1,alias_symbol
AC007207.2,LINC03141,alias_symbol
AC007255.8,PRR15-DT,alias_symbol
AC007271.3,IL1R1-AS1,alias_symbol
AC007365.1,LINC02579,alias_symbol
AC007383.2,INO80D-AS1,alias_symbol
AC007386.2,LINC02245,alias_symbol
AC007389.3,LINC03050,alias_symbol
AC007403.1,LINC01628,alias_symbol
AC007405.2,GAD1-AS1,alias_symbol
AC007613.1,TXNDC11-AS1,alias_symbol
AC007731.1,FAM230G,alias_symbol
AC007998.3,ZNF24TR,alias_symbol
AC008079.1,FAM230D,alias_symbol
AC008392.1,CARD8-AS1,alias_symbol
AC008560.1,SHLD3,alias_symbol
AC008750.1,SIGLEC10-AS2,alias_symbol
AC008957.1,SLC1A3-AS1,alias_symbol
AC009133.12,MVP-DT,alias_symbol
AC009227.1,GALNT13-AS1,alias_symbol
AC009237.14,LINC03052,alias_symbol
AC009292.1,SKOR1-AS1,alias_symbol
AC009892.10,LILRB1-AS1,alias_symbol
AC009975.1,MIR548BAHG,alias_symbol
AC010331.1,BICRA-AS2,alias_symbol
AC010457.1,EGFLAM-AS5,alias_symbol
AC010642.1,ZNF8-ERVK3-1,alias_symbol
AC010789.1,LINC03046,alias_symbol
AC010904.2,LINC02973,alias_symbol
AC010980.1,RNF228,alias_symbol
AC010999.2,LINC03065,alias_symbol
AC011443.1,PAK4-AS1,alias_symbol
AC011472.4,DOCK6-AS1,alias_symbol
AC011511.2,LIMASI,alias_symbol
AC011511.5,ICAM4-AS1,alias_symbol
AC012044.5,FAM25EP,alias_symbol
AC012213.3,LINC02933,alias_symbol
AC012360.1,TGFBRAP1-AS1,alias_symbol
AC012568.1,SMAD3-AS1,alias_symbol
AC015660.1,LINC03080,alias_symbol
AC016405.3,ZHX2-AS1,alias_symbol
AC016727.1,USP34-DT,alias_symbol
AC016735.2,LINC01819,alias_symbol
AC016745.3,LINC02966,alias_symbol
AC016747.2,C2ORF74-AS1,alias_symbol
AC016831.7,LINC00513,alias_symbol
AC016876.1,MPDU1-AS1,alias_symbol
AC017074.1,LINC02936,alias_symbol
AC018445.6,LINC03101,alias_symbol
AC019080.1,AGPS-DT,alias_symbol
AC020916.1,ZSWIM4-AS1,alias_symbol
AC021321.1,ARFGEF1-DT,alias_symbol
AC021683.2,LINC03161,alias_symbol
AC022026.3,RPSAP6,alias_symbol
AC022211.2,MIF4GD-DT,alias_symbol
AC022389.4,LRIT2,alias_symbol
AC022394.1,HMGN2P8,alias_symbol
AC022424.2,ADAMTS16-AS1,alias_symbol
AC02278.4,PPP1R3B-DT,alias_symbol
AC022816.1,LROMI1,alias_symbol
AC022915.1,LINC03054,alias_symbol
AC023157.3,AMN1-AS1,alias_symbol
AC023283.3,ENO4,alias_symbol
AC023904.2,LINC01553,alias_symbol
AC024896.1,TM7SF3-AS1,alias_symbol
AC025048.4,HEATR6-DT,alias_symbol
AC025154.2,AQP5-AS1,alias_symbol
AC025254.1,LINC03130,alias_symbol
AC026166.2-001,MTCO1P5,alias_symbol
AC026355.2,LINC00578,alias_symbol
AC026369.3,IQSEC3-AS2,alias_symbol
AC026412.3,LINC03067,alias_symbol
AC026462.3,LINC03064,alias_symbol
AC026904.1,LINC02599,alias_symbol
AC027288.3,SYT1-AS1,alias_symbol
AC036108.3,TTC23-AS1,alias_symbol
AC040169.1,MBTPS1-DT,alias_symbol
AC048382.5,ZSCAN2-AS1,alias_symbol
AC051619.4,SLC28A2-AS1,alias_symbol
AC060780.1,BRCA1-OT1,alias_symbol
AC068228.1,SACK1A-AS2,alias_symbol
AC068302.3,MELTF-AS1,alias_symbol
AC069294.1,CYP3A4-AS1,alias_symbol
AC072061.1,CDK13-DT,alias_symbol
AC073284.4,LINC02862,alias_symbol
AC073316.3,SDK1-AS1,alias_symbol
AC073352.1,ADPRH-AS1,alias_symbol
AC073534.2,LINC03085,alias_symbol
AC073585.2,FAM24B,alias_symbol
AC073585.4,FAM24A,alias_symbol
AC074117.1,GTF3C2-AS2,alias_symbol
AC074117.10,GTF3C2-AS2,alias_symbol
AC078778.1,SCAT2,alias_symbol
AC078788.1,LINC03109,alias_symbol
AC078883.3,ITGA6-AS1,alias_symbol
AC079035.1,MON2-AS1,alias_symbol
AC079061.1,SYBU-AS1,alias_symbol
AC079135.1,GBX2-AS1,alias_symbol
AC079360.1,TIALD,alias_symbol
AC079466.1,ERVE-5,alias_symbol
AC079630.2,LINC02471,alias_symbol
AC079767.4,LINC01857,alias_symbol
AC079776.2,LINC02572,alias_symbol
AC083837.1,LINC02605,alias_symbol
AC084727.4,FAM170B,alias_symbol
AC090114.2,LINC03072,alias_symbol
AC090197.1,LOXL2-AS1,alias_symbol
AC090559.1,SLC39A13-AS1,alias_symbol
AC090625.2,SLC1A2-AS2,alias_symbol
AC090771.2,LINC03111,alias_symbol
AC090912.1,RBBP8-AS1,alias_symbol
AC091729.7,CHLSN-AS1,alias_symbol
AC091814.2,LINC02470,alias_symbol
AC092159.2,TMEM18-DT,alias_symbol
AC092171.5,LINC03073,alias_symbol
AC092198.1,LINC03053,alias_symbol
AC092490.1,LINC02972,alias_symbol
AC092535.4,SPON2-AS1,alias_symbol
AC092620.3,LINC02631,alias_symbol
AC092683.1,APPAT,alias_symbol
AC092834.1,PPARGC1A-AS1,alias_symbol
AC093001.1,TM4SF18-AS1,alias_symbol
AC093609.1,LINC02580,alias_symbol
AC093797.1,SORBS2-AS1,alias_symbol
AC093895.1,DMP1-AS1,alias_symbol
AC096655.1-002,GACAT1,alias_symbol
AC096677.1,CSRP1-AS1,alias_symbol
AC099850.3,PRR11-AS1,alias_symbol
AC099850.4,PRR11-AS1,alias_symbol
AC1,ADCY1,alias_symbol
AC100826.1,LINC03137,alias_symbol
AC103563.8,MAL-AS1,alias_symbol
AC103746.1,SCDAL,alias_symbol
AC103760.1,WWP1-AS1,alias_symbol
AC104041.1,LINC01418,alias_symbol
AC104135.4,LINC01291,alias_symbol
AC104653.1,ACTR3-AS1,alias_symbol
AC104958.2,SNTB1-AS1,alias_symbol
