gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h
NOVA2,-0.3457779573295,0.559539654917189,1.87411344778856,5.87317178554235e-08,-0.0463819611461505,0.999847911406781,1.80081228837683,6.13978444328515e-17,1.837462868082695
SLC47A2,-2.34639332830166,0.0012537328092546,1.0610217714991,0.014413276920048,0.319702056376164,0.999847911406781,2.57667038101633,0.0453880689147895,1.818846076257715
DEPTOR,-0.0210207401159814,0.980959521342257,2.12098938291226,8.12433829470733e-10,0.360715945720069,0.999847911406781,1.50772732068937,1.56260323133186e-07,1.814358351800815
CXXC5,0.953398127733725,0.000485996067687212,2.54776536252316,9.20289523501852e-32,0.249656529005057,0.999847911406781,1.01691856107704,1.01505814895752e-05,1.7823419618001
CORO2A,0.734339005573574,4.20680714464753e-16,1.03447514756585,2.10508249178064e-39,1.5583237524265,0.118475699649158,2.44590651992702,1.24828638620702e-07,1.7401908337464351
BDH2,-0.342530620126091,0.802777002705429,2.10003483212341,0.00716764401744903,0.284700283927233,0.999847911406781,1.35819976302378,1.476883691705e-09,1.7291172975735951
AP001053.11,-2.43530106027192,0.0846389085601247,1.88758425116055,0.00622498994035402,-0.0747203035413673,0.999847911406781,1.57060866790889,0.000829089673048116,1.72909645953472
RP11-674N23.1,-1.8600844661729,5.42967035398376e-46,1.21055370496704,3.58241831182704e-48,0.490017329602493,0.999847911406781,2.23792143084577,6.87522986714287e-08,1.724237567906405
ATP2B4,0.780011963364699,4.76076105281617e-15,1.97641692777051,1.20413539587546e-124,0.828105804812321,0.999847911406781,1.43641007588329,0.000231708714656032,1.7064135018269
BAIAP3,-0.338706943071322,0.634820162205584,2.04100075017617,7.94241670004584e-07,-0.276904674296839,0.999847911406781,1.31959477378811,8.53468650584426e-05,1.68029776198214
ATP9A,-0.137974474592127,0.347817535490277,1.73933780571708,1.82525881285959e-77,0.802795526672854,0.187290832616443,1.60930875770867,5.13042435616037e-11,1.674323281712875
LINC00086,-2.93220662691314,0.000780300997823024,2.2637988544459,2.02392234666934e-10,0.47807033725784,0.999847911406781,1.01937250198861,3.60984135170463e-05,1.6415856782172549
MR1,-2.18314577674094,4.27270887258272e-26,1.37590783267263,1.44577633564114e-28,0.533277048256171,0.999847911406781,1.82997902943251,1.51322658264009e-07,1.6029434310525699
C1R,-1.50400335043658,2.34719100875377e-05,1.51899873134617,1.32872866232701e-10,-0.528500129624483,0.999847911406781,1.66638562818466,6.17176358719179e-05,1.592692179765415
AXL,1.00628477533828,2.16626391109125e-42,1.21907369037336,5.29244069818015e-77,1.70912403797852,0.148150752480457,1.93815000553564,0.000513752103532883,1.5786118479545
FOXO4,-0.76996933694435,0.000759421502178919,1.5305528814584,7.91232542041944e-22,0.0218811385450941,0.999847911406781,1.60106494478909,7.00947800535616e-19,1.565808913123745
MEIS3,-0.773797035970084,0.00973552895220917,1.0436997716047,1.30495604777959e-06,1.63026512879454,0.999847911406781,2.08313248713614,0.00620473048213732,1.5634161293704198
ABCG1,-1.34264355246908,8.43569772479464e-09,1.37501118153668,1.74730591665061e-17,0.596796038995214,0.999847911406781,1.73449666114265,0.0145223136025206,1.5547539213396648
IRF5,0.13362706179433,0.749954698976682,1.62899274518958,1.33170035973844e-11,0.699164769113293,0.999847911406781,1.46564351976362,9.88276995109589e-05,1.5473181324766
INPP5J,-0.379264317662746,0.560751600437052,1.69320974345354,1.50078596616698e-05,0.617918969723311,0.999847911406781,1.38854515398834,0.0389454455675627,1.54087744872094
PLEKHA4,-1.86729658609555,0.000765453392284938,1.92697205639958,1.81013070411253e-10,-0.230800405763078,0.999847911406781,1.13120364073408,0.0161608141760134,1.52908784856683
CAMK2B,0.666213818418939,0.567973625731539,1.76041898161058,0.0399205457198605,0.275610830988388,0.999847911406781,1.28447428999679,0.0116111509489359,1.522446635803685
