probe_id,gene,log2fc,pvalue,qvalue
ILMN_1752813,UGT1A6,-1.3716012937558082,2.1679374418042e-05,0.0001732993149058013
ILMN_1802192,C10orf99,-1.3687686700792314,1.2317346642287254e-10,4.2173274162059744e-09
ILMN_1713995,SCNN1A,-1.366016415552778,9.828584085821696e-06,8.675910898112499e-05
ILMN_1680424,CTSG,-1.363997446618873,2.584253375688432e-07,3.5195925552897106e-06
ILMN_1770085,BTG2,-1.3518230546140462,4.178134808820442e-22,2.7275792506381807e-19
ILMN_2188862,GDF15,-1.3492120149380975,2.6174019332120396e-14,2.4803682771603252e-12
ILMN_2060413,CD24,-1.3491577307682476,4.864950267173189e-08,8.120320681746977e-07
ILMN_1706483,C1orf116,-1.348257630832311,7.225680206888845e-11,2.6600101182678395e-09
ILMN_2334210,ITGB4,-1.3470189265271948,2.8614770874885424e-06,2.8986762896258936e-05
ILMN_2249018,LOC389816,-1.3463066660532252,2.366037746094974e-06,2.4526143566348644e-05
ILMN_1806710,ESPN,-1.3338977308513886,1.3390985059417377e-05,0.00011386019336917635
