gene,l2fc_12h_2C,q_12h_2C,l2fc_48h_2C,q_48h_2C,l2fc_disease_12h_2C,l2fc_disease_48h_2C,l2fc_12h_219,q_12h_219,l2fc_48h_219,q_48h_219,l2fc_disease_12h_219,l2fc_disease_48h_219,up_RMC2C,up_RMC219,up_both,mean_l2fc_disease_48h
ATOSB,0.646441649210238,1.44183660070104e-07,0.283720487245312,0.0226206398932713,-0.646441649210238,-0.283720487245312,0.0232954907716207,0.999847911406781,0.0345689045138046,0.849006199439105,-0.0232954907716207,-0.0345689045138046,False,False,False,-0.15914469587955832
COPZ2,-0.451666679032086,0.00718367604600596,0.825773264099947,8.97488854961102e-11,0.451666679032086,-0.825773264099947,2.04993413890289,,3.08077135682642,,-2.04993413890289,-3.08077135682642,False,False,False,-1.9532723104631835
PRKAR2B,0.898373710201799,8.64307651728809e-06,0.696755326077152,0.000230378525520706,-0.898373710201799,-0.696755326077152,-0.0990786145771493,0.999847911406781,0.101519556611495,0.667150759540012,0.0990786145771493,-0.101519556611495,False,False,False,-0.3991374413443235
MSL3,0.606794542192753,2.7927693214982e-11,0.57116786511793,2.83712984872856e-12,-0.606794542192753,-0.57116786511793,-0.0605012308589337,0.999847911406781,-0.0148851015981707,0.936454770713209,0.0605012308589337,0.0148851015981707,False,False,False,-0.2781413817598797
CREBBP,-0.122285728178382,0.0581054544171388,-0.00231258579086151,0.982056117338488,0.122285728178382,0.00231258579086151,0.126751447085487,0.999847911406781,-0.0656245475823106,0.700790763464238,-0.126751447085487,0.0656245475823106,False,False,False,0.03396856668658605
GCFC2,-0.290395891194647,0.00190518675762549,-0.62857012924761,2.56934248279279e-15,0.290395891194647,0.62857012924761,-0.173352967016047,0.999847911406781,-0.280043092273234,0.0640706274864182,0.173352967016047,0.280043092273234,True,False,False,0.454306610760422
WDR54,0.372997678612097,0.000653114773504759,0.527109734542973,2.12011797239779e-08,-0.372997678612097,-0.527109734542973,-0.100067403232507,0.999847911406781,0.178991996989015,0.348353794499812,0.100067403232507,-0.178991996989015,False,False,False,-0.35305086576599404
CROT,0.277030663880304,0.204196153944721,0.839388329622606,2.30041010400297e-07,-0.277030663880304,-0.839388329622606,0.0481689270579683,0.999847911406781,0.359557526144462,0.00739946505303502,-0.0481689270579683,-0.359557526144462,False,False,False,-0.599472927883534
KMT2E,-0.656058828365761,1.26902558111889e-21,-2.23837826855342e-05,0.999786389028468,0.656058828365761,2.23837826855342e-05,0.228006259370487,0.999847911406781,0.381891203772852,0.0165219579476471,-0.228006259370487,-0.381891203772852,False,False,False,-0.19093440999508324
RHBDD2,0.197473562522832,0.0585962619600716,-0.0290507615199275,0.84677062887379,-0.197473562522832,0.0290507615199275,-0.112737943840721,0.999847911406781,-0.230455450930902,0.130372138778516,0.112737943840721,0.230455450930902,False,False,False,0.12975310622541475
