context,refit_context,rule,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Neuroactive_ligand_receptor,31,355,1294,20753,0.036836903871002184,AVPR1B; CALCA; CGA; CHRM4; CHRM5; CHRNB2; GHRH; GLRA3; GNRH2; GRIA1; GRIK3; GRIN1; GRIN2C; GRIN3A; GRM7; GRM8; GRP; HCRT; LTB4R2; LYPD6; LYPD6B; NMUR2; NPFFR2; NTS; OPRD1; PRSS1; RXFP3; SPX; TAAR1; TAC3; UCN3,0.6630642696780393
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Prostate_cancer,3,104,1294,20753,0.9612715626316988,CCNE2; E2F2; SPINT1,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Bladder_cancer,2,41,1294,20753,0.7342754784995154,CDH1; E2F2,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Renal_cell_carcinoma,2,68,1294,20753,0.9310022791947634,EGLN3; MET,1.0
SCBC_ASCL1,SCBC_ASCL1,p<0.05 & logFC>0.5,Epigenetic_Regulation,1,93,1294,20753,0.9975242081368079,DNMT3B,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,Cell_Cycle,0,158,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,Apoptosis,0,136,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,HIF1_signaling,0,109,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,VEGF_signaling,0,58,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,Homologous_Recombination,0,41,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,PI3K_AKT_signaling,0,357,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,p53_signaling,0,74,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,Chemokine_signaling,0,186,10,20753,1.0,,1.0
SCBC_NEUROD1,SCBC_NEUROD1,q<0.05 & logFC>0.5,Cytokine_receptor_interaction,0,289,10,20753,1.0,,1.0
